message,emotion,tokens
Feeling low today,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Feeling', 'low', 'today']"
I didn’t do well on my test... feeling really low right now.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'didn', '’', 't', 'do', 'well', 'on', 'my', 'test', '...', 'feeling', 'really', 'low', 'right', 'now', '.']"
"ok, noted","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['ok', ',', 'noted']"
Someone not understand me,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Someone', 'not', 'understand', 'me']"
"Today I don't really feel myself today, I feel empty.","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Today', 'I', 'do', ""n't"", 'really', 'feel', 'myself', 'today', ',', 'I', 'feel', 'empty', '.']"
What are doing ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['What', 'are', 'doing']"
Feeling really low today… some days just weigh heavier than others. Trying to hold on and breathe through it. ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Feeling', 'really', 'low', 'today…', 'some', 'days', 'just', 'weigh', 'heavier', 'than', 'others', '.', 'Trying', 'to', 'hold', 'on', 'and', 'breathe', 'through', 'it', '.']"
"I passed, but my marks were lower than I hoped.","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'passed', ',', 'but', 'my', 'marks', 'were', 'lower', 'than', 'I', 'hoped', '.']"
Miss you,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Miss', 'you']"
Feeling really low today…,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Feeling', 'really', 'low', 'today…']"
I feel alone without you,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'feel', 'alone', 'without', 'you']"
Breakup ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)",['Breakup']
sad,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)",['sad']
"feeling really down today. Nothing seems to be going right, and I just feel emotionally drained.","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['feeling', 'really', 'down', 'today', '.', 'Nothing', 'seems', 'to', 'be', 'going', 'right', ',', 'and', 'I', 'just', 'feel', 'emotionally', 'drained', '.']"
My heart feels heavy whenever I think about my lover.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['My', 'heart', 'feels', 'heavy', 'whenever', 'I', 'think', 'about', 'my', 'lover', '.']"
I have repeated in the exam,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'have', 'repeated', 'in', 'the', 'exam']"
My current GPA is less than 3.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['My', 'current', 'GPA', 'is', 'less', 'than', '3', '.']"
Rules ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)",['Rules']
I do not have a mind to everything,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'do', 'not', 'have', 'a', 'mind', 'to', 'everything']"
Next will be an exam ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Next', 'will', 'be', 'an', 'exam']"
I am feeling sad,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'am', 'feeling', 'sad']"
I just feel really low.It's like there's a cloud over me and I can't shake it off ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'just', 'feel', 'really', 'low.It', ""'s"", 'like', 'there', ""'s"", 'a', 'cloud', 'over', 'me', 'and', 'I', 'ca', ""n't"", 'shake', 'it', 'off']"
When my favourite book character dies.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['When', 'my', 'favourite', 'book', 'character', 'dies', '.']"
I’m feeling really down right now,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', '’', 'm', 'feeling', 'really', 'down', 'right', 'now']"
My purse was missed by me.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['My', 'purse', 'was', 'missed', 'by', 'me', '.']"
It's okay.. I'm used to it,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['It', ""'s"", 'okay', '..', 'I', ""'m"", 'used', 'to', 'it']"
Scolding from parents,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Scolding', 'from', 'parents']"
Every sad situation brings You a big strength 🙂,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Every', 'sad', 'situation', 'brings', 'You', 'a', 'big', 'strength', '🙂']"
Iam not selected the interview ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Iam', 'not', 'selected', 'the', 'interview']"
I'm not pass the exam,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', ""'m"", 'not', 'pass', 'the', 'exam']"
I lost my money pawvch ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'lost', 'my', 'money', 'pawvch']"
Tomorrow is exam day ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Tomorrow', 'is', 'exam', 'day']"
Be alone,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Be', 'alone']"
My best friend moved to another city,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['My', 'best', 'friend', 'moved', 'to', 'another', 'city']"
"I studied very hard ,eventhough i got low result.","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'studied', 'very', 'hard', ',', 'eventhough', 'i', 'got', 'low', 'result', '.']"
Why can't I do this,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Why', 'ca', ""n't"", 'I', 'do', 'this']"
"I’m feeling really down today. It’s like a heavy cloud is hanging over me, and I just can’t seem to shake it off. I hope tomorrow feels a little lighter","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', '’', 'm', 'feeling', 'really', 'down', 'today', '.', 'It', '’', 's', 'like', 'a', 'heavy', 'cloud', 'is', 'hanging', 'over', 'me', ',', 'and', 'I', 'just', 'can', '’', 't', 'seem', 'to', 'shake', 'it', 'off', '.', 'I', 'hope', 'tomorrow', 'feels', 'a', 'little', 'lighter']"
I have a problem ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'have', 'a', 'problem']"
My heart feels heavy,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['My', 'heart', 'feels', 'heavy']"
"Feeling a bit down today... Sometimes things just don’t go as hoped, and it’s hard to shake the heaviness. Hoping for brighter moments soon. 😞","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Feeling', 'a', 'bit', 'down', 'today', '...', 'Sometimes', 'things', 'just', 'don', '’', 't', 'go', 'as', 'hoped', ',', 'and', 'it', '’', 's', 'hard', 'to', 'shake', 'the', 'heaviness', '.', 'Hoping', 'for', 'brighter', 'moments', 'soon', '.', '😞']"
The message which says that we have lectures on weekends as well ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['The', 'message', 'which', 'says', 'that', 'we', 'have', 'lectures', 'on', 'weekends', 'as', 'well']"
I failed a subject in the last exam,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'failed', 'a', 'subject', 'in', 'the', 'last', 'exam']"
It's not my day. Feel so down today.. insha allah hope to get on my track.. ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['It', ""'s"", 'not', 'my', 'day', '.', 'Feel', 'so', 'down', 'today', '..', 'insha', 'allah', 'hope', 'to', 'get', 'on', 'my', 'track', '..']"
"""It's really hard to understand lectures in English… I feel lost and frustrated. ","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['``', 'It', ""'s"", 'really', 'hard', 'to', 'understand', 'lectures', 'in', 'English…', 'I', 'feel', 'lost', 'and', 'frustrated', '.']"
I’m feeling really down today. It’s one of those moments where everything just feels heavy,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', '’', 'm', 'feeling', 'really', 'down', 'today', '.', 'It', '’', 's', 'one', 'of', 'those', 'moments', 'where', 'everything', 'just', 'feels', 'heavy']"
I feel like I'm crying,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'feel', 'like', 'I', ""'m"", 'crying']"
If someone saying they are living sad ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['If', 'someone', 'saying', 'they', 'are', 'living', 'sad']"
I can’t stop crying,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'can', '’', 't', 'stop', 'crying']"
 genocides on Gaza people ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['genocides', 'on', 'Gaza', 'people']"
So sad 😞 ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['So', 'sad', '😞']"
My boyfriend will return from abroad within 1 week... I feel very sad...,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['My', 'boyfriend', 'will', 'return', 'from', 'abroad', 'within', '1', 'week', '...', 'I', 'feel', 'very', 'sad', '...']"
Hmm...,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Hmm', '...']"
I feel lost everything in my life,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'feel', 'lost', 'everything', 'in', 'my', 'life']"
I tried my best but I got fail ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'tried', 'my', 'best', 'but', 'I', 'got', 'fail']"
"Huh, I’m alright ","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Huh', ',', 'I', '’', 'm', 'alright']"
"The pain I go through cannot be expressed in mere words, I feel like I'm falling into an abyss while something heavy tugs at my heart. ","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['The', 'pain', 'I', 'go', 'through', 'can', 'not', 'be', 'expressed', 'in', 'mere', 'words', ',', 'I', 'feel', 'like', 'I', ""'m"", 'falling', 'into', 'an', 'abyss', 'while', 'something', 'heavy', 'tugs', 'at', 'my', 'heart', '.']"
May be it was because of the way I handled it. ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['May', 'be', 'it', 'was', 'because', 'of', 'the', 'way', 'I', 'handled', 'it', '.']"
I'm not feel good,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', ""'m"", 'not', 'feel', 'good']"
"""I tried my best, but things didn’t go the way I hoped. Feeling really down today.""","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['``', 'I', 'tried', 'my', 'best', ',', 'but', 'things', 'didn', '’', 't', 'go', 'the', 'way', 'I', 'hoped', '.', 'Feeling', 'really', 'down', 'today', '.', ""''""]"
😕,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)",['😕']
You have changed a lot,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['You', 'have', 'changed', 'a', 'lot']"
I miss those moments,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'miss', 'those', 'moments']"
When we miss a closest person in life,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['When', 'we', 'miss', 'a', 'closest', 'person', 'in', 'life']"
I studied really hard for this exam but didn’t get the marks I expected… feeling so down,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'studied', 'really', 'hard', 'for', 'this', 'exam', 'but', 'didn', '’', 't', 'get', 'the', 'marks', 'I', 'expected…', 'feeling', 'so', 'down']"
Loss of a family member,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Loss', 'of', 'a', 'family', 'member']"
I am done with life. Everything seems messed up around me. I am stressed ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'am', 'done', 'with', 'life', '.', 'Everything', 'seems', 'messed', 'up', 'around', 'me', '.', 'I', 'am', 'stressed']"
"Just feeling a bit down today. Not really sure why. just one of those days, I guess.","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Just', 'feeling', 'a', 'bit', 'down', 'today', '.', 'Not', 'really', 'sure', 'why', '.', 'just', 'one', 'of', 'those', 'days', ',', 'I', 'guess', '.']"
Feeling a bit down today—just one of those days where everything feels a little heavier than usual.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Feeling', 'a', 'bit', 'down', 'today—just', 'one', 'of', 'those', 'days', 'where', 'everything', 'feels', 'a', 'little', 'heavier', 'than', 'usual', '.']"
hasbunallah,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)",['hasbunallah']
Well.. feeling sad,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Well', '..', 'feeling', 'sad']"
"You made me cry infront of everyone.
","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['You', 'made', 'me', 'cry', 'infront', 'of', 'everyone', '.']"
need theraphy,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['need', 'theraphy']"
I am not well ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'am', 'not', 'well']"
I have not enough money to help someone ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'have', 'not', 'enough', 'money', 'to', 'help', 'someone']"
When I didn't get the results I expected in the semester exam,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['When', 'I', 'did', ""n't"", 'get', 'the', 'results', 'I', 'expected', 'in', 'the', 'semester', 'exam']"
"Arriyer,referd","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Arriyer', ',', 'referd']"
"I just feel really down today. It's like there's a heavy weight in my heart, and I don’t have the energy to do anything. 😞

","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'just', 'feel', 'really', 'down', 'today', '.', 'It', ""'s"", 'like', 'there', ""'s"", 'a', 'heavy', 'weight', 'in', 'my', 'heart', ',', 'and', 'I', 'don', '’', 't', 'have', 'the', 'energy', 'to', 'do', 'anything', '.', '😞']"
Whenever I get bad comments ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Whenever', 'I', 'get', 'bad', 'comments']"
"Lately, I’ve been feeling really low. It’s one of those days where everything feels a bit heavier than usual. I’m trying to stay strong, but it’s tough. Just needed to let it out.","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Lately', ',', 'I', '’', 've', 'been', 'feeling', 'really', 'low', '.', 'It', '’', 's', 'one', 'of', 'those', 'days', 'where', 'everything', 'feels', 'a', 'bit', 'heavier', 'than', 'usual', '.', 'I', '’', 'm', 'trying', 'to', 'stay', 'strong', ',', 'but', 'it', '’', 's', 'tough', '.', 'Just', 'needed', 'to', 'let', 'it', 'out', '.']"
I am worry,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'am', 'worry']"
I'm tired of you,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', ""'m"", 'tired', 'of', 'you']"
My best friend understands me wrongly ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['My', 'best', 'friend', 'understands', 'me', 'wrongly']"
I feel sorry,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'feel', 'sorry']"
I am very sad that hearing about it,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'am', 'very', 'sad', 'that', 'hearing', 'about', 'it']"
I am so unlucky today,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'am', 'so', 'unlucky', 'today']"
Working for 7 days in a week,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Working', 'for', '7', 'days', 'in', 'a', 'week']"
Why me ? I can't believe this,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Why', 'me', '?', 'I', 'ca', ""n't"", 'believe', 'this']"
Returning hostel from home,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Returning', 'hostel', 'from', 'home']"
😕,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)",['😕']
My close friend avoid me without any reason ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['My', 'close', 'friend', 'avoid', 'me', 'without', 'any', 'reason']"
Im worried about my results,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Im', 'worried', 'about', 'my', 'results']"
The time which I spent with my friends in the past ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['The', 'time', 'which', 'I', 'spent', 'with', 'my', 'friends', 'in', 'the', 'past']"
😪,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)",['😪']
"When I think about my mother, father.","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['When', 'I', 'think', 'about', 'my', 'mother', ',', 'father', '.']"
I don't get peaceful sleep,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'do', ""n't"", 'get', 'peaceful', 'sleep']"
Iam good  i feels  like a heavy cloud is hanging over me.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Iam', 'good', 'i', 'feels', 'like', 'a', 'heavy', 'cloud', 'is', 'hanging', 'over', 'me', '.']"
I felt sad when I couldn't attend an important campus event because I had to travel home unexpectedly.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'felt', 'sad', 'when', 'I', 'could', ""n't"", 'attend', 'an', 'important', 'campus', 'event', 'because', 'I', 'had', 'to', 'travel', 'home', 'unexpectedly', '.']"
I felt sad when I didn’t get the mark I expected on my Internet Programming assignment after working so hard.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'felt', 'sad', 'when', 'I', 'didn', '’', 't', 'get', 'the', 'mark', 'I', 'expected', 'on', 'my', 'Internet', 'Programming', 'assignment', 'after', 'working', 'so', 'hard', '.']"
I feel sad ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'feel', 'sad']"
I have failed in a important exam,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'have', 'failed', 'in', 'a', 'important', 'exam']"
Tomorrow I have to go to university ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Tomorrow', 'I', 'have', 'to', 'go', 'to', 'university']"
Oops I failed this exam.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Oops', 'I', 'failed', 'this', 'exam', '.']"
"My laptop is broken few days ago, and I felt lost","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['My', 'laptop', 'is', 'broken', 'few', 'days', 'ago', ',', 'and', 'I', 'felt', 'lost']"
"Couldn't attend the family function due to semester exam.
","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Could', ""n't"", 'attend', 'the', 'family', 'function', 'due', 'to', 'semester', 'exam', '.']"
Failed a subject ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Failed', 'a', 'subject']"
Best friend dropped out this semester.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Best', 'friend', 'dropped', 'out', 'this', 'semester', '.']"
"Canteen ran out of kottu before I got there. 😢
","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Canteen', 'ran', 'out', 'of', 'kottu', 'before', 'I', 'got', 'there', '.', '😢']"
Bike broke down on the way to uni.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Bike', 'broke', 'down', 'on', 'the', 'way', 'to', 'uni', '.']"
My favorite lecturer is leaving the university.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['My', 'favorite', 'lecturer', 'is', 'leaving', 'the', 'university', '.']"
Iam alone ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Iam', 'alone']"
Lost the match in the last over... still can’t believe it. ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Lost', 'the', 'match', 'in', 'the', 'last', 'over', '...', 'still', 'can', '’', 't', 'believe', 'it', '.']"
Failed my driving test again… feeling low.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Failed', 'my', 'driving', 'test', 'again…', 'feeling', 'low', '.']"
She left without saying goodbye,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['She', 'left', 'without', 'saying', 'goodbye']"
Didn’t get selected for the final team. All that practice... gone. ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Didn', '’', 't', 'get', 'selected', 'for', 'the', 'final', 'team', '.', 'All', 'that', 'practice', '...', 'gone', '.']"
Lost my phone with all my memories in it.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Lost', 'my', 'phone', 'with', 'all', 'my', 'memories', 'in', 'it', '.']"
Missing my dad.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Missing', 'my', 'dad', '.']"
I studied so hard and still didn’t do well.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'studied', 'so', 'hard', 'and', 'still', 'didn', '’', 't', 'do', 'well', '.']"
Feeling homesick again... I miss my family.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Feeling', 'homesick', 'again', '...', 'I', 'miss', 'my', 'family', '.']"
My dog died on an accident ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['My', 'dog', 'died', 'on', 'an', 'accident']"
Sometimes I feel like I’m falling behind everyone else.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Sometimes', 'I', 'feel', 'like', 'I', '’', 'm', 'falling', 'behind', 'everyone', 'else', '.']"
It’s overwhelming. I don’t know how to keep up.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['It', '’', 's', 'overwhelming', '.', 'I', 'don', '’', 't', 'know', 'how', 'to', 'keep', 'up', '.']"
Skipped class today... just couldn’t handle it.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Skipped', 'class', 'today', '...', 'just', 'couldn', '’', 't', 'handle', 'it', '.']"
I miss the old days more than I thought I would.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'miss', 'the', 'old', 'days', 'more', 'than', 'I', 'thought', 'I', 'would', '.']"
Why does university feel so lonely sometimes?,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Why', 'does', 'university', 'feel', 'so', 'lonely', 'sometimes', '?']"
Cried in the bathroom after my presentation.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Cried', 'in', 'the', 'bathroom', 'after', 'my', 'presentation', '.']"
I keep trying but nothing seems to work.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'keep', 'trying', 'but', 'nothing', 'seems', 'to', 'work', '.']"
I missed the bus today so i walked to the office,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'missed', 'the', 'bus', 'today', 'so', 'i', 'walked', 'to', 'the', 'office']"
Failed that quiz I thought I did okay in.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Failed', 'that', 'quiz', 'I', 'thought', 'I', 'did', 'okay', 'in', '.']"
I’m exhausted from pretending I’m okay all the time.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', '’', 'm', 'exhausted', 'from', 'pretending', 'I', '’', 'm', 'okay', 'all', 'the', 'time', '.']"
"Smiling outside, but inside I’m just tired.","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Smiling', 'outside', ',', 'but', 'inside', 'I', '’', 'm', 'just', 'tired', '.']"
    I tried my best but it still wasn’t enough.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'tried', 'my', 'best', 'but', 'it', 'still', 'wasn', '’', 't', 'enough', '.']"
It hurts when people you trust don’t trust you back.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['It', 'hurts', 'when', 'people', 'you', 'trust', 'don', '’', 't', 'trust', 'you', 'back', '.']"
"
    That sinking feeling when plans fall apart last minute.","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['That', 'sinking', 'feeling', 'when', 'plans', 'fall', 'apart', 'last', 'minute', '.']"
Feels like everything is just a bit too heavy today.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Feels', 'like', 'everything', 'is', 'just', 'a', 'bit', 'too', 'heavy', 'today', '.']"
    I miss how things used to be before everything changed.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'miss', 'how', 'things', 'used', 'to', 'be', 'before', 'everything', 'changed', '.']"
I feel lonely sometimes.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'feel', 'lonely', 'sometimes', '.']"
It's hard to let go.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['It', ""'s"", 'hard', 'to', 'let', 'go', '.']"
That news made me cry.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['That', 'news', 'made', 'me', 'cry', '.']"
I did not expect this to happen.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'did', 'not', 'expect', 'this', 'to', 'happen', '.']"
I am worthless.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['I', 'am', 'worthless', '.']"
Lost my wallet.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Lost', 'my', 'wallet', '.']"
Scored less than I expected… disappointed in myself,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Scored', 'less', 'than', 'I', 'expected…', 'disappointed', 'in', 'myself']"
Couldn’t attend my best friend’s birthday. Feeling really bad.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Couldn', '’', 't', 'attend', 'my', 'best', 'friend', '’', 's', 'birthday', '.', 'Feeling', 'really', 'bad', '.']"
Lost all my project data because my laptop crashed. ,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Lost', 'all', 'my', 'project', 'data', 'because', 'my', 'laptop', 'crashed', '.']"
My favorite hoodie shrank in the wash.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['My', 'favorite', 'hoodie', 'shrank', 'in', 'the', 'wash', '.']"
Didn’t get selected for the team… feeling really down.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Didn', '’', 't', 'get', 'selected', 'for', 'the', 'team…', 'feeling', 'really', 'down', '.']"
Rain ruined our boys' cricket match plan.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Rain', 'ruined', 'our', 'boys', ""'"", 'cricket', 'match', 'plan', '.']"
Had an argument with dad… hate this feeling.,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Had', 'an', 'argument', 'with', 'dad…', 'hate', 'this', 'feeling', '.']"
"No matter how hard I try, it never feels enough.","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['No', 'matter', 'how', 'hard', 'I', 'try', ',', 'it', 'never', 'feels', 'enough', '.']"
"Sometimes I feel like I’m there for everyone, but no one checks on me.","Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Sometimes', 'I', 'feel', 'like', 'I', '’', 'm', 'there', 'for', 'everyone', ',', 'but', 'no', 'one', 'checks', 'on', 'me', '.']"
Didn't get the expected results,"Sadness  
 (e.g., Missed the scholarship by just 1 mark.)","['Did', ""n't"", 'get', 'the', 'expected', 'results']"
"I did all the work, and my groupmates did nothing!","Anger  
 (e.g.,  Lecturer canceled the class last minute again!)","['I', 'did', 'all', 'the', 'work', ',', 'and', 'my', 'groupmates', 'did', 'nothing', '!']"
I worked so hard and still didn’t get selected! This is so unfair!,"Anger  
 (e.g.,  Lecturer canceled the class last minute again!)","['I', 'worked', 'so', 'hard', 'and', 'still', 'didn', '’', 't', 'get', 'selected', '!', 'This', 'is', 'so', 'unfair', '!']"
Why is this so unfair,"Anger  
 (e.g.,  Lecturer canceled the class last minute again!)","['Why', 'is', 'this', 'so', 'unfair']"
That was really unfair,"Anger  
 (e.g.,  Lecturer canceled the class last minute again!)","['That', 'was', 'really', 'unfair']"
I’m so annoyed! We worked hard on the group project and still got a low grade,"Anger  
 (e.g.,  Lecturer canceled the class last minute again!)","['I', '’', 'm', 'so', 'annoyed', '!', 'We', 'worked', 'hard', 'on', 'the', 'group', 'project', 'and', 'still', 'got', 'a', 'low', 'grade']"
hm,"Anger  
 (e.g.,  Lecturer canceled the class last minute again!)",['hm']
Someone not picking up the call when i want to talk,"Anger  
 (e.g.,  Lecturer canceled the class last minute again!)","['Someone', 'not', 'picking', 'up', 'the', 'call', 'when', 'i', 'want', 'to', 'talk']"
